Volatilité,Rendement
0.48306310961818766,0.5640892348750232
0.48306310961817833,0.5640892348750116
0.48306310961818627,0.5640892348750216
0.48306310961818605,0.5640892348750216
0.4830631096181825,0.5640892348750165
0.4830631096181864,0.5640892348750213
0.48306310961818616,0.5640892348750216
0.4830631096181818,0.5640892348750156
0.4830631096181864,0.5640892348750219
0.4830631096181865,0.5640892348750217
0.48306310961818305,0.5640892348750168
0.4830631096181846,0.5640892348750188
0.4830631096181827,0.5640892348750168
0.48306310961818577,0.5640892348750208
0.48306310961818594,0.5640892348750212
0.4830631096181868,0.5640892348750226
0.483063109618186,0.5640892348750212
0.483063109618181,0.5640892348750149
0.4830631096181862,0.5640892348750216
0.48306310961818577,0.5640892348750208
0.48306310961818544,0.5640892348750205
0.48306310961818394,0.5640892348750188
0.48306310961818005,0.564089234875014
0.4830631096181854,0.5640892348750203
0.4830631096181854,0.5640892348750206
0.4830631096181852,0.5640892348750204
0.4830631096181835,0.5640892348750178
0.4830631096181854,0.5640892348750202
0.4830631096181854,0.5640892348750206
0.4830631096181841,0.5640892348750188
0.48306310961818505,0.56408923487502
0.4830631096181851,0.5640892348750199
0.4830631096181854,0.5640892348750204
0.4830631096181849,0.5640892348750198
0.48306310961818527,0.5640892348750202
0.4830631096181851,0.56408923487502
0.4830631096181848,0.5640892348750197
0.48306310961818444,0.5640892348750193
0.4830631096181844,0.5640892348750194
0.4830631096181851,0.5640892348750199
0.48306310961818477,0.56408923487502
0.48306310961818477,0.5640892348750197
0.46178872597614357,0.5485726387799855
0.42757169937524875,0.5228545125053364
0.40192254146404705,0.5027563576125605
0.3787618821979213,0.4838431231670186
0.3592942362831975,0.46730371916756297
0.3436060675127259,0.4534232049154806
0.3307878395296519,0.4416107179450254
0.31976576855713046,0.431018443758194
0.3060718996812748,0.4173376911724855
0.28997509218278344,0.40059704744880564
0.2730102671795228,0.38220740790031793
0.25916576156920984,0.36657136242209626
0.2474867732777436,0.3528352393743991
0.2365506632888749,0.3394302728630757
0.226803103049286,0.32696094630134676
0.2171326741659007,0.31410368463752836
0.20914611510001327,0.30303319627644526
0.20150002371620904,0.2919771615580765
0.194176591597922,0.280938117523153
0.18827148641065053,0.27165187501261373
0.18270737088413014,0.2625141973191044
0.1778037003096987,0.2541061478359634
0.1733790795909064,0.24618035933812676
0.1694159904121711,0.23876377456276957
0.16585460013072365,0.23179310349929141
0.1623286660322889,0.2245736229684063
0.15881191222231264,0.2170387614517518
0.15582402902362988,0.2103320050562054
0.15322702947160718,0.20422128667526962
0.15081411540282244,0.19825924860552863
0.1486234819733236,0.19257130697099348
0.14670476412802463,0.18734115646953559
0.14490044899546362,0.18215163274818774
0.14291913583097282,0.17614042387030718
0.14108009302592459,0.1702390722900422
0.13932206622600965,0.1642721009768814
0.13778890670651356,0.15875138807206643
0.13641594839909413,0.1535001337438604
0.13520580720800116,0.14857620890693032
0.13409535672606132,0.143747865224932
0.1332970060300528,0.14003397591429123
0.13252155160079898,0.13614215522604392
0.13184037984239266,0.13246080832086277
0.13125618584004314,0.12904643430365886
0.13075938450680127,0.12589193972436416
0.13032267942907497,0.12286566898834907
0.12993712080908357,0.11993248691854862
0.12959728086274488,0.11707034295508585
0.12929196071389396,0.11418242851868654
0.12904537508595468,0.11155016361881229
0.12880756370702673,0.10863662874796369
0.12862819987710697,0.10609704577151927
0.1284689301157176,0.10341469601583322
0.12834992010293877,0.10093509392853299
0.12825643685598367,0.09843862184859427
0.1282056968710474,0.09651571091514122
0.128177251959872,0.09470708391626319
0.12816841432877246,0.09285892100579896
