Date,PG,KO,PEP,WMT,COST,MO,PM,MDLZ,KMB,CL,GIS,HSY,SYY,KR,TAP,STZ,EL,CPB,CHD
2015-01-01,,,,,,,,,,,,,,,,,,,
2015-01-02,66.51834106445312,29.783401489257812,67.88455963134766,23.266569137573242,114.135986328125,24.545082092285156,47.361270904541016,29.088224411010742,79.62162780761719,53.3967170715332,36.22312545776367,79.7797622680664,30.09742546081543,25.68742561340332,56.503509521484375,83.46759796142578,65.71786499023438,31.198535919189453,34.136444091796875
2015-01-05,66.20209503173828,29.783401489257812,67.37419128417969,23.19886016845703,112.83837890625,24.404735565185547,47.00468444824219,28.653362274169922,79.16683197021484,53.00225067138672,35.56837463378906,79.21823120117188,29.802875518798828,25.505477905273438,56.159278869628906,85.45369720458984,64.92670440673828,30.723466873168945,33.756629943847656
2015-01-06,65.9005126953125,30.009578704833984,66.86385345458984,23.37761878967285,114.32947540283203,24.55008316040039,47.40803527832031,28.4556941986084,78.40198516845703,52.445411682128906,35.47972106933594,79.47978210449219,29.644271850585938,25.505477905273438,55.89149475097656,86.00157928466797,64.32685089111328,30.517845153808594,33.476078033447266
2015-01-07,66.2461929321289,30.384174346923828,68.81900787353516,23.997882843017578,116.32022857666016,25.001190185546875,47.764625549316406,29.349140167236328,78.94633483886719,52.8630485534668,36.22994613647461,80.87984466552734,30.51283073425293,26.27775001525879,57.681636810302734,88.21881866455078,64.62242889404297,31.86505699157715,33.85157775878906
2015-01-08,67.0037612915039,30.751693725585938,70.06975555419922,24.504384994506836,117.31969451904297,25.422225952148438,48.483619689941406,29.720745086669922,80.6138687133789,53.58232116699219,36.82106399536133,82.44141387939453,31.064172744750977,26.766996383666992,59.464080810546875,92.14822387695312,65.55268859863281,32.50908660888672,34.520572662353516
2015-01-09,66.37863159179688,30.41242218017578,69.59537506103516,24.201021194458008,115.51426696777344,25.36208152770996,48.355010986328125,29.428197860717773,79.89037322998047,53.05641174316406,36.44990539550781,81.85677337646484,31.15480613708496,26.621437072753906,59.34934616088867,91.89142608642578,65.1180191040039,32.41626739501953,34.408355712890625
2015-01-12,66.13587188720703,30.13678550720215,69.30783081054688,24.38249397277832,114.86949157714844,25.522480010986328,48.54793167114258,29.151477813720703,79.766357421875,52.79344177246094,36.188716888427734,81.1029052734375,30.867801666259766,26.686132431030273,58.87504959106445,91.57466125488281,64.56157684326172,32.52336883544922,34.30907440185547
2015-01-13,66.41536712646484,30.129728317260742,69.25750732421875,24.190189361572266,113.71690368652344,25.72295570373535,48.5771484375,28.961721420288086,79.98684692382812,53.156951904296875,36.22994613647461,82.05679321289062,30.777162551879883,26.686132431030273,58.270668029785156,91.0010986328125,64.78760528564453,32.50908660888672,34.386775970458984
2015-01-14,66.1873550415039,30.080245971679688,69.48751831054688,23.45887565612793,112.28225708007812,25.928464889526367,48.76422119140625,28.898462295532227,80.09017944335938,52.94038391113281,36.37429428100586,82.3260269165039,30.414636611938477,26.58504867553711,57.36032485961914,92.82455444335938,64.43984985351562,32.5447883605957,34.60258483886719
2015-01-15,66.09175872802734,29.95304298400879,69.48751831054688,23.667430877685547,112.28225708007812,26.299367904663086,48.41347885131836,28.890554428100586,80.09017944335938,52.8398551940918,36.73859405517578,83.43374633789062,30.407087326049805,26.932783126831055,57.03900146484375,92.61051940917969,64.08340454101562,32.908931732177734,34.88313674926758
2015-01-16,67.11408233642578,30.059049606323242,69.9332046508789,23.502212524414062,112.61270904541016,26.5900821685791,48.34333038330078,29.206815719604492,81.06867980957031,53.49724197387695,36.71108627319336,85.12610626220703,30.225818634033203,26.985336303710938,57.41384506225586,95.5383071899414,64.52681732177734,33.23738479614258,35.539188385009766
2015-01-19,,,,,,,,,,,,,,,,,,,
2015-01-20,67.0699462890625,30.50430679321289,70.0913314819336,23.48054313659668,112.33868408203125,26.981042861938477,48.85774612426758,29.270069122314453,80.98600769042969,53.3348274230957,37.39157485961914,84.91072845458984,29.878398895263672,26.84786605834961,57.551570892333984,95.02466583251953,64.79631042480469,33.51585006713867,35.60392761230469
2015-01-21,67.20626831054688,30.645675659179688,70.01223754882812,23.467002868652344,112.14523315429688,27.201583862304688,49.42476272583008,29.372867584228516,81.0273208618164,53.14045333862305,37.17161178588867,84.77227783203125,30.42975425720215,27.090463638305664,58.64553451538086,94.62227630615234,64.31816864013672,33.637229919433594,35.51759719848633
2015-01-22,67.86551666259766,30.942508697509766,71.09046173095703,23.916627883911133,113.86197662353516,27.397066116333008,49.78135681152344,29.720745086669922,81.9851303100586,53.89461135864258,37.652748107910156,85.21844482421875,30.731857299804688,27.373504638671875,59.73948287963867,95.36710357666016,65.3005599975586,33.86572265625,35.99237060546875
2015-01-23,66.72478485107422,30.610321044921875,70.82452392578125,23.973499298095703,114.49069213867188,27.161483764648438,48.41347885131836,29.206815719604492,76.93427276611328,52.1997184753418,37.50153732299805,83.55685424804688,30.950883865356445,27.478626251220703,59.73948287963867,94.69078826904297,64.07469177246094,33.34449005126953,35.38812255859375
2015-01-26,66.35441589355469,30.391237258911133,70.93952178955078,24.00600814819336,115.18379974365234,27.286792755126953,48.54793167114258,28.922199249267578,75.6939468383789,51.538856506347656,37.76961135864258,84.10301971435547,30.913131713867188,27.866788864135742,59.808349609375,95.64102172851562,63.344417572021484,33.387325286865234,35.71615219116211
