Date,JNJ,PFE,MRK,ABBV,LLY,BMY,GILD,AMGN,MDT,SYK,ISRG,DHR,TMO,UNH,HUM,CI,HCA,CVS,ZBH,REGN
2015-01-01,,,,,,,,,,,,,,,,,,,,
2015-01-02,76.9555435180664,18.688913345336914,39.10074996948242,42.0914306640625,57.47673797607422,41.79395294189453,66.37438201904297,116.43656921386719,55.08708953857422,82.98163604736328,58.39666748046875,35.055850982666016,124.0141372680664,84.4804916381836,131.55703735351562,93.92724609375,68.86148071289062,69.6036605834961,100.20895385742188,407.89776611328125
2015-01-05,76.4180679321289,18.58750343322754,39.681880950927734,41.29929733276367,56.910648345947266,41.14081954956055,67.68913269042969,115.05289459228516,54.8571891784668,81.70146179199219,57.1522216796875,34.708251953125,122.31056213378906,83.08895111083984,128.07005310058594,92.3104476928711,66.85065460205078,68.91568756103516,103.94708251953125,410.19500732421875
2015-01-06,76.04259490966797,18.742599487304688,41.24072265625,41.09488296508789,57.197792053222656,41.070579528808594,68.29055786132812,111.34619903564453,54.5812873840332,81.586669921875,57.75444412231445,34.47102737426758,121.1683578491211,82.92130279541016,127.9688720703125,92.67581939697266,66.73894500732422,68.96686553955078,103.0659408569336,394.7009582519531
2015-01-07,77.7212905883789,18.999103546142578,42.12270736694336,42.755802154541016,56.79582595825195,41.60433578491211,69.57037353515625,115.23497772216797,55.945438385009766,83.1317138671875,58.071109771728516,34.67961502075195,124.79818725585938,83.7679443359375,130.39776611328125,94.84976959228516,67.94917297363281,70.21114349365234,105.62928771972656,405.47119140625
2015-01-08,78.3323974609375,19.3868408203125,42.97048568725586,43.20296096801758,58.14124298095703,42.643733978271484,71.54248809814453,114.81986999511719,57.28660583496094,84.54430389404297,59.22222137451172,35.2153434753418,126.09526824951172,87.76647186279297,136.01007080078125,99.68177032470703,69.75516510009766,71.70420837402344,106.75069427490234,401.0258483886719
2015-01-09,77.2647933959961,19.476320266723633,42.77220153808594,42.021148681640625,57.37008285522461,42.36281967163086,71.47954559326172,113.40708923339844,57.01837158203125,83.52014923095703,57.87444305419922,34.97815704345703,125.59190368652344,86.94499969482422,135.01641845703125,98.64961242675781,69.49451446533203,71.66759490966797,105.21094512939453,408.7729187011719
2015-01-12,76.9997329711914,19.54790496826172,42.594451904296875,42.00838851928711,56.951690673828125,43.66910171508789,70.78022003173828,113.76390838623047,57.07200622558594,83.00808715820312,58.38999938964844,34.54465866088867,124.38192749023438,85.9642333984375,133.87554931640625,96.98719024658203,67.2137222290039,71.140625,105.46017456054688,411.05023193359375
2015-01-13,77.13227081298828,19.351057052612305,42.51922607421875,40.79840087890625,56.91887283325195,44.32925796508789,67.98285675048828,112.97743225097656,55.78451919555664,83.1846694946289,57.962223052978516,34.495574951171875,124.22708892822266,86.40011596679688,135.09925842285156,97.5809097290039,67.15788269042969,71.16990661621094,105.69154357910156,404.24798583984375
2015-01-14,76.57270050048828,19.374914169311523,42.82691192626953,40.9979248046875,57.230621337890625,44.20985794067383,69.41649627685547,112.99207305908203,55.0027961730957,82.32828521728516,59.48444366455078,33.95167541503906,122.15565490722656,86.61805725097656,135.75244140625,98.13809967041016,65.59388732910156,71.23579406738281,104.29419708251953,402.08001708984375
2015-01-15,75.4609146118164,19.327184677124023,42.30729675292969,40.476585388183594,57.21421813964844,43.2828369140625,68.11573028564453,110.6325454711914,55.1024284362793,80.78324890136719,58.264442443847656,33.54680252075195,120.15201568603516,87.5652847290039,136.0928497314453,97.60830688476562,65.23081970214844,71.11869049072266,102.33613586425781,394.9296569824219
2015-01-16,76.60215759277344,19.565792083740234,43.09354782104492,41.538536071777344,57.985355377197266,43.76040267944336,70.43054962158203,115.37332916259766,55.76152038574219,81.62199401855469,58.95888900756836,33.7553596496582,121.27484893798828,88.66344451904297,137.95138549804688,98.54911804199219,65.01670837402344,72.26773834228516,104.13398742675781,406.4358825683594
2015-01-19,,,,,,,,,,,,,,,,,,,,
2015-01-20,74.57738494873047,19.744749069213867,42.806396484375,40.837032318115234,59.092918395996094,43.85872268676758,72.57752227783203,114.7689208984375,55.33235168457031,80.93335723876953,57.98777770996094,33.93122863769531,121.2264404296875,88.53770446777344,137.0589141845703,99.06977081298828,63.1734619140625,72.2530746459961,103.14603424072266,418.7873229980469
2015-01-21,75.02652740478516,19.47035789489746,42.498741149902344,40.354312896728516,59.26517868041992,43.507568359375,72.4376449584961,114.60871124267578,55.99142074584961,81.32182312011719,57.56888961791992,34.04981231689453,121.3426284790039,91.63929748535156,141.0242919921875,100.59520721435547,64.48606872558594,73.08305358886719,103.13716125488281,415.80389404296875
2015-01-22,76.39598846435547,19.571760177612305,42.792720794677734,40.53451919555664,59.44565963745117,43.60590362548828,73.52861785888672,116.20350646972656,57.8460693359375,82.43423461914062,58.37555694580078,34.55693435668945,122.93006134033203,95.43661499023438,141.3647003173828,102.46772003173828,65.53805541992188,73.65597534179688,105.33555603027344,418.489013671875
2015-01-23,75.24738311767578,19.357017517089844,42.7243537902832,40.18052291870117,59.17495346069336,43.591854095458984,73.80838012695312,116.37826538085938,58.97260665893555,81.84268951416016,57.50777816772461,34.409706115722656,120.8683090209961,93.88582611083984,139.35897827148438,100.44903564453125,63.899566650390625,73.9057388305664,104.1161880493164,417.8923034667969
2015-01-26,75.29158020019531,19.565792083740234,42.94997024536133,40.43798065185547,59.158546447753906,43.86574172973633,74.90631866455078,116.32003784179688,57.93033981323242,81.7103042602539,57.88999938964844,34.213409423828125,121.61360931396484,93.55889892578125,139.8466796875,99.93754577636719,67.95848083496094,74.1921615600586,104.19630432128906,421.43267822265625
