Date,AAPL,MSFT,NVDA,AVGO,AMD,INTC,QCOM,TXN,MU,ORCL,CRM,NOW,PANW,ANET,ADBE,SAP,ASML,TSM,LRCX,KLAC,AMAT,ADI,NXPI,INTU,CDNS
2023-12-27,191.3429718017578,368.5746154785156,49.38948440551758,110.33586883544922,146.07000732421875,50.08916473388672,139.7731475830078,161.25123596191406,85.92919158935547,103.62938690185547,263.94354248046875,703.760009765625,148.75,59.432498931884766,596.0800170898438,152.58822631835938,750.7713012695312,101.81731414794922,77.97836303710938,581.289306640625,161.3228302001953,192.84445190429688,224.01638793945312,621.2764282226562,274.6400146484375
2023-12-28,191.76895141601562,369.7668151855469,49.49442672729492,109.96747589111328,148.75999450683594,49.72405242919922,139.9074249267578,161.7126922607422,85.27474975585938,103.93263244628906,262.8153991699219,702.4600219726562,147.7899932861328,59.24250030517578,595.52001953125,151.05157470703125,744.6985473632812,101.86593627929688,77.46239471435547,576.1788940429688,160.251953125,193.7053985595703,223.02227783203125,620.190185546875,273.239990234375
2023-12-29,190.72877502441406,370.51568603515625,49.49442672729492,109.36397552490234,147.41000366210938,49.58590316772461,138.72763061523438,160.52610778808594,84.73362731933594,103.1305160522461,260.40081787109375,706.489990234375,147.44000244140625,58.877498626708984,596.5999755859375,151.30604553222656,743.7847900390625,101.18490600585938,76.8335952758789,571.29443359375,159.22044372558594,192.08023071289062,221.68064880371094,617.2374267578125,272.3699951171875
2024-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,183.90322875976562,365.4216003417969,48.14117431640625,106.33948516845703,138.5800018310547,47.168277740478516,134.5072021484375,159.3960418701172,81.75492095947266,101.79039001464844,253.4637908935547,687.52001953125,144.4600067138672,57.88999938964844,580.0700073242188,147.0191192626953,704.4788208007812,98.78175354003906,73.50231170654297,550.7443237304688,151.65579223632812,187.26272583007812,213.47674560546875,596.232666015625,262.8999938964844
2024-01-03,182.5262451171875,365.1556091308594,47.542510986328125,103.71377563476562,135.32000732421875,46.42819595336914,131.98452758789062,157.0229034423828,81.6755142211914,100.22528839111328,249.2184295654297,675.2999877929688,143.23500061035156,57.349998474121094,571.7899780273438,146.60801696777344,691.1639404296875,97.45858001708984,72.28887176513672,543.07861328125,148.78713989257812,182.79351806640625,208.55435180664062,583.77001953125,257.2799987792969
2024-01-04,180.20811462402344,362.53466796875,47.971275329589844,102.77616119384766,136.00999450683594,46.250572204589844,130.61288452148438,154.8852081298828,82.12230682373047,100.35244750976562,248.62469482421875,671.8699951171875,141.64999389648438,57.63999938964844,567.0499877929688,145.36500549316406,688.137451171875,96.44671630859375,71.71502685546875,537.034423828125,146.6847686767578,179.99783325195312,200.5241241455078,579.5038452148438,255.9199981689453
2024-01-05,179.48495483398438,362.347412109375,49.069664001464844,102.8026123046875,138.5800018310547,46.27030944824219,131.15003967285156,155.47848510742188,82.85704040527344,100.48941040039062,248.50592041015625,676.1599731445312,141.46499633789062,57.72999954223633,564.5999755859375,146.66676330566406,691.1345825195312,96.91372680664062,71.8445053100586,534.9411010742188,146.38023376464844,180.46214294433594,198.55516052246094,581.6763916015625,252.7100067138672
2024-01-08,183.823974609375,369.1854553222656,52.22390365600586,105.30782318115234,146.17999267578125,47.8096923828125,133.35618591308594,158.71800231933594,84.34639739990234,102.37730407714844,258.1544189453125,696.260009765625,144.75,61.462501525878906,580.5499877929688,149.31918334960938,708.3309326171875,99.47254180908203,74.27334594726562,552.680419921875,148.89520263671875,182.81285095214844,204.78053283691406,590.9196166992188,261.9100036621094
2024-01-09,183.4079132080078,370.2693176269531,53.11041259765625,106.05634307861328,149.25999450683594,47.41497802734375,134.1810760498047,158.80274963378906,82.7379150390625,101.36976623535156,258.6195373535156,698.6699829101562,150.2100067138672,61.29999923706055,586.2000122070312,148.91787719726562,703.5257568359375,99.13201904296875,73.76912689208984,546.7640380859375,148.3745574951172,183.56739807128906,204.3365478515625,598.5350341796875,261.75
2024-01-10,184.44808959960938,377.14678955078125,54.319732666015625,105.86823272705078,148.5399932861328,46.84264373779297,133.624755859375,157.50320434570312,81.79463958740234,102.04733276367188,261.3804931640625,714.2999877929688,158.0449981689453,62.307498931884766,591.030029296875,152.5294952392578,705.3338012695312,98.07152557373047,73.54056549072266,546.5183715820312,147.1759796142578,182.22276306152344,203.93116760253906,602.0164184570312,263.260009765625
2024-01-11,183.85369873046875,378.9794616699219,54.791473388671875,107.76992797851562,148.02000427246094,47.010398864746094,133.35618591308594,155.94932556152344,82.79747009277344,102.88201141357422,268.5550537109375,726.4600219726562,161.7449951171875,62.935001373291016,597.489990234375,153.18527221679688,706.0610961914062,98.48015594482422,74.571533203125,552.4642333984375,149.27838134765625,182.79351806640625,204.12420654296875,602.0263671875,266.7900085449219
2024-01-12,184.1805877685547,382.7630615234375,54.679534912109375,108.52433013916016,146.55999755859375,46.49726486206055,134.47842407226562,155.2618865966797,81.8045883178711,104.67904663085938,269.0993347167969,729.1799926757812,162.6199951171875,63.00749969482422,596.5399780273438,155.17214965820312,700.8429565429688,98.49961853027344,74.51954650878906,550.9605102539062,148.59066772460938,182.2130889892578,201.8271026611328,605.0823974609375,268.5
2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-16,181.9120330810547,384.53662109375,56.35060501098633,109.2375717163086,158.74000549316406,46.43806076049805,135.36087036132812,154.32957458496094,84.0088119506836,104.64958190917969,266.3878173828125,727.5599975585938,166.02499389648438,63.314998626708984,597.6799926757812,153.4886932373047,694.2396850585938,98.91796875,74.66374969482422,557.0538940429688,151.0565185546875,181.66168212890625,201.71128845214844,597.199951171875,277.55999755859375
2024-01-17,180.97091674804688,383.7483825683594,56.02178955078125,108.1314468383789,160.1699981689453,45.45127868652344,133.63433837890625,152.95468139648438,82.6882553100586,104.5121078491211,268.6144104003906,727.5399780273438,165.02999877929688,62.247501373291016,596.0999755859375,154.42828369140625,699.9096069335938,100.16332244873047,73.85545349121094,552.8180541992188,150.67340087890625,179.37869262695312,198.3235321044922,593.2537231445312,275.3900146484375
2024-01-18,186.865234375,388.083740234375,57.0752067565918,112.07393646240234,162.6699981689453,46.12229537963867,139.36070251464844,157.18299865722656,84.21731567382812,106.74119567871094,271.60296630859375,745.9600219726562,167.88499450683594,64.38999938964844,593.7000122070312,157.02198791503906,731.6098022460938,109.9704818725586,77.06805419921875,579.8447265625,157.52084350585938,183.77052307128906,204.24002075195312,604.6473388671875,279.010009765625
2024-01-19,189.767822265625,392.8132019042969,59.45787048339844,118.66664123535156,174.22999572753906,47.51365661621094,145.75851440429688,163.5301971435547,86.8882064819336,107.69371795654297,277.9561767578125,749.1099853515625,168.8699951171875,65.87750244140625,611.5499877929688,159.97784423828125,744.678955078125,111.10880279541016,81.05756378173828,602.4388427734375,164.9872283935547,188.41390991210938,210.7549285888672,615.3485107421875,292.1400146484375
2024-01-22,192.07603454589844,390.6849670410156,59.620784759521484,119.57780456542969,168.17999267578125,47.582733154296875,146.63133239746094,164.6414337158203,88.60591888427734,108.11597442626953,277.38214111328125,752.4500122070312,172.8249969482422,66.6500015258789,603.5900268554688,159.74295043945312,753.3754272460938,109.9704818725586,81.76580047607422,612.3748779296875,165.34091186523438,190.87100219726562,211.2182159423828,623.6858520507812,295.7300109863281
2024-01-23,193.3539581298828,393.0398254394531,59.83966064453125,120.14702606201172,168.4199981689453,48.24387741088867,147.2356719970703,164.1800079345703,86.9080581665039,109.81480407714844,273.888916015625,753.4199829101562,172.08999633789062,65.51000213623047,597.1799926757812,159.9093475341797,764.8821411132812,111.04070281982422,81.45680236816406,608.6697998046875,164.1128692626953,194.7985076904297,216.13096618652344,628.8386840820312,295.5400085449219
2024-01-24,192.68032836914062,396.6460876464844,61.32783126831055,122.84719848632812,178.2899932861328,48.44123077392578,148.0701446533203,160.15884399414062,87.45416259765625,112.2500991821289,273.997802734375,763.4199829101562,170.1199951171875,65.61750030517578,606.47998046875,170.90077209472656,832.6063232421875,113.36601257324219,83.199951171875,627.460693359375,171.07821655273438,191.82870483398438,213.96896362304688,629.1947631835938,294.9100036621094
2024-01-25,192.3534393310547,398.9221496582031,61.582698822021484,120.50855255126953,180.3300018310547,48.89515686035156,148.16603088378906,157.66329956054688,88.56620025634766,112.92767333984375,276.1253967285156,766.6900024414062,170.09500122070312,66.1050033569336,622.5800170898438,169.75563049316406,853.9983520507812,113.4049301147461,84.91070556640625,630.6448974609375,169.59475708007812,190.86134338378906,211.7683868408203,634.4464111328125,291.19000244140625
2024-01-26,190.61976623535156,397.99591064453125,60.99701690673828,118.04744720458984,177.25,43.0731315612793,144.56910705566406,154.52732849121094,87.42436981201172,112.57416534423828,277.02587890625,769.4400024414062,171.22000122070312,66.0999984741211,613.9299926757812,169.9905242919922,852.6913452148438,114.08598327636719,82.3053207397461,589.0533447265625,163.96551513671875,187.601318359375,207.62777709960938,634.31787109375,290.7300109863281
2024-01-29,189.9362335205078,403.700927734375,62.43022155761719,119.3103256225586,177.8300018310547,43.260616302490234,143.5331573486328,156.36370849609375,88.43711853027344,111.7001953125,284.8634948730469,787.239990234375,172.625,67.3949966430664,630.22998046875,172.59402465820312,867.303466796875,113.81355285644531,82.96844482421875,589.751220703125,165.5177459716797,190.76461791992188,209.8959503173828,645.7113647460938,294.3699951171875
2024-01-30,186.28076171875,402.58746337890625,62.739044189453125,118.3687973022461,172.05999755859375,42.3527717590332,140.02252197265625,153.8104705810547,85.54779815673828,112.10281372070312,284.7348327636719,785.72998046875,172.94500732421875,67.98999786376953,627.9600219726562,171.99697875976562,852.966552734375,112.91844940185547,81.98651885986328,585.1027221679688,163.3170928955078,188.3848876953125,207.676025390625,640.6079711914062,294.6199951171875
2024-01-31,182.67483520507812,391.73919677734375,61.49274444580078,115.60983276367188,167.69000244140625,42.51066589355469,142.4492645263672,151.97860717773438,85.14069366455078,109.68714141845703,278.1639404296875,765.4000244140625,169.2550048828125,64.66999816894531,617.780029296875,169.42286682128906,854.7254638671875,109.9023666381836,80.94474792480469,583.815185546875,161.41122436523438,186.0825653076172,203.2362518310547,624.39794921875,288.4599914550781
2024-02-01,185.11181640625,397.8481750488281,62.991905212402344,117.57029724121094,170.47999572753906,42.78696060180664,135.35128784179688,151.5704803466797,85.001708984375,113.44812774658203,280.8457336425781,771.0,169.98500061035156,65.74500274658203,627.9099731445312,173.455322265625,875.0859375,110.32072448730469,81.63533020019531,588.7880859375,164.03427124023438,185.7439422607422,205.5912628173828,625.9112548828125,290.5199890136719
2024-02-02,184.1112518310547,405.1788635253906,66.12315368652344,119.95401763916016,177.66000366210938,42.03700256347656,135.90762329101562,151.10537719726562,85.86553192138672,113.70344543457031,282.6864318847656,781.2999877929688,172.52999877929688,68.2750015258789,634.760009765625,173.29872131347656,875.203857421875,112.61685180664062,82.27197265625,593.9182739257812,165.2230224609375,185.83103942871094,207.50230407714844,632.557373046875,296.54998779296875
2024-02-05,185.9241180419922,399.6906433105469,69.29340362548828,121.79202270507812,174.22999572753906,42.20475769042969,138.15213012695312,150.8206329345703,86.36196899414062,114.29261779785156,285.1108703613281,784.8400268554688,172.24000549316406,68.24250030517578,630.5,173.27914428710938,884.4923706054688,115.5745620727539,83.50992584228516,604.2964477539062,168.0818634033203,186.27601623535156,213.3223114013672,633.566162109375,296.6499938964844
2024-02-06,187.52896118164062,399.5330505371094,68.18501281738281,119.7884292602539,167.8800048828125,42.29877853393555,138.21925354003906,150.3175811767578,83.99888610839844,113.2222671508789,282.8545837402344,777.4500122070312,170.7449951171875,66.22250366210938,607.1400146484375,174.99197387695312,890.7431030273438,116.14859008789062,81.87173461914062,591.2647094726562,165.73387145996094,183.51902770996094,215.2333221435547,628.3244018554688,292.79998779296875
2024-02-07,187.63795471191406,407.9672546386719,70.05996704101562,123.15974426269531,170.94000244140625,42.33836364746094,139.9362030029297,150.697265625,84.56483459472656,115.15675354003906,285.83331298828125,790.3900146484375,182.25,66.76249694824219,615.8499755859375,177.33120727539062,907.81201171875,121.59701538085938,83.23721313476562,598.4193725585938,167.8951873779297,185.7052764892578,213.66009521484375,636.1079711914062,300.7300109863281
2024-02-08,186.55816650390625,408.0263671875,69.60221862792969,124.89388275146484,169.35000610351562,42.061256408691406,142.1327667236328,152.0640411376953,84.2768783569336,114.57740020751953,288.9109191894531,799.4099731445312,183.50999450683594,68.97250366210938,615.8599853515625,177.3116455078125,908.5108642578125,130.1101531982422,84.78907012939453,607.8442993164062,170.8325958251953,187.72706604003906,219.8950958251953,645.8992309570312,307.3599853515625
2024-02-09,187.32191467285156,414.37176513671875,72.09284973144531,125.74429321289062,172.47999572753906,42.86289596557617,144.83767700195312,154.14266967773438,84.9520492553711,114.53812408447266,288.2676086425781,812.9400024414062,188.4499969482422,70.61250305175781,627.2100219726562,177.693359375,934.7540283203125,129.5069580078125,89.42110443115234,638.6152954101562,182.572509765625,188.65574645996094,225.41590881347656,650.933349609375,311.94000244140625
2024-02-12,185.63568115234375,409.1595153808594,72.20777130126953,123.93766021728516,171.91000366210938,43.57545852661133,146.85198974609375,152.88978576660156,85.09107971191406,113.7525405883789,284.3291320800781,787.3499755859375,185.98500061035156,70.22000122070312,611.8400268554688,175.57923889160156,914.6828002929688,126.92867279052734,89.0699234008789,636.8954467773438,182.27777099609375,187.7174072265625,228.43687438964844,649.7761840820312,306.5799865722656
2024-02-13,183.54273986816406,400.3507995605469,72.08784484863281,122.62969970703125,171.5399932861328,42.71444320678711,143.91685485839844,148.87489318847656,80.95068359375,111.63145446777344,278.22332763671875,773.760009765625,184.1300048828125,66.37750244140625,601.8900146484375,170.28414916992188,889.1976318359375,124.09744262695312,87.55828857421875,630.0357055664062,177.1397247314453,178.66285705566406,223.98744201660156,631.2815551757812,294.3299865722656
2024-02-14,182.6599578857422,404.22039794921875,73.85885620117188,123.66529083251953,178.6999969482422,43.73380661010742,147.65768432617188,149.84300231933594,81.24856567382812,112.20099639892578,286.1400451660156,792.0,184.1649932861328,66.4175033569336,604.6599731445312,173.7000274658203,909.9874267578125,125.77091217041016,89.82524871826172,642.5858764648438,182.91635131835938,180.23965454101562,225.81163024902344,649.9147338867188,300.739990234375
2024-02-15,182.37229919433594,401.3280944824219,72.6175308227539,123.94451904296875,176.75999450683594,43.595252990722656,149.61441040039062,152.53860473632812,81.04998779296875,110.7476806640625,288.9010009765625,780.0,183.44000244140625,66.625,590.4400024414062,173.82725524902344,915.3030395507812,125.53738403320312,89.63690948486328,642.5760498046875,184.36048889160156,181.4198455810547,226.32315063476562,656.9862060546875,295.6700134277344
2024-02-16,180.83482360839844,398.8602600097656,72.57256317138672,122.02519226074219,173.8699951171875,43.060829162597656,146.45872497558594,152.22540283203125,78.93511962890625,109.30416107177734,286.7041320800781,765.0,183.2050018310547,65.4375,546.6599731445312,173.15191650390625,914.4170532226562,123.26073455810547,90.83856964111328,651.4111938476562,196.0611114501953,182.09701538085938,224.07431030273438,648.5399780273438,290.29998779296875
2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02-20,180.0908966064453,397.6065979003906,69.41332244873047,120.17053985595703,165.69000244140625,44.060401916503906,145.75851440429688,154.4654083251953,80.13652038574219,106.49569702148438,283.4088134765625,752.8400268554688,183.0449981689453,64.90249633789062,541.9099731445312,172.84849548339844,895.3499755859375,121.93753814697266,88.32832336425781,641.9751586914062,185.8144989013672,183.2191619873047,223.29254150390625,638.8179321289062,292.07000732421875
2024-02-21,180.8447723388672,397.00445556640625,67.43444061279297,120.25872039794922,164.2899932861328,43.021240234375,145.80645751953125,155.73728942871094,80.91098022460938,106.2109375,280.5983581542969,747.9400024414062,130.98500061035156,63.622501373291016,538.52001953125,172.18295288085938,894.0111694335938,121.94725799560547,88.4744873046875,642.1229248046875,187.30044555664062,187.39816284179688,227.124267578125,631.2618408203125,290.760009765625
