Date,NEE,DUK,SO,D,AEP,EXC,SRE,XEL
2015-01-01,,,,,,,,
2015-01-02,20.032855987548828,53.36250305175781,30.940670013427734,49.050899505615234,41.37131118774414,18.123079299926758,40.09215545654297,25.736316680908203
2015-01-05,19.8206787109375,52.59428787231445,30.80904769897461,48.45588302612305,40.76240921020508,17.60693359375,39.35892868041992,25.44419288635254
2015-01-06,19.897663116455078,53.45771789550781,31.178817749023438,48.209022521972656,40.98567581176758,17.471866607666016,38.99052810668945,25.57956886291504
2015-01-07,20.07979393005371,53.62915802001953,31.52349853515625,48.40523910522461,41.5675048828125,17.49597930908203,39.620025634765625,25.80044937133789
2015-01-08,20.201841354370117,53.84501266479492,31.5485782623291,48.97494125366211,41.92608642578125,17.63105583190918,39.97413635253906,26.09970474243164
2015-01-09,20.02346420288086,53.92121124267578,31.147480010986328,48.42422866821289,41.702823638916016,17.602102279663086,39.612876892089844,25.779081344604492
2015-01-12,19.97277069091797,53.972007751464844,31.153738021850586,48.42422866821289,41.64870071411133,17.669641494750977,39.39826965332031,25.551067352294922
2015-01-13,20.0516300201416,54.26403045654297,31.134939193725586,48.38626480102539,41.85842514038086,17.611751556396484,39.63433837890625,25.757699966430664
2015-01-14,20.175556182861328,54.40372848510742,31.45455551147461,48.39258575439453,42.46056365966797,17.80953025817871,39.8668327331543,25.98571014404297
2015-01-15,20.09857177734375,55.08304977416992,31.836854934692383,48.848350524902344,42.73118591308594,17.978370666503906,40.11005401611328,26.213720321655273
2015-01-16,20.32013702392578,55.457645416259766,32.181541442871094,49.2218132019043,43.00857925415039,18.031429290771484,40.3997688293457,26.377593994140625
2015-01-19,,,,,,,,
2015-01-20,20.453447341918945,55.67351150512695,32.375823974609375,49.607940673828125,42.981510162353516,17.96871566772461,40.65730285644531,26.555723190307617
2015-01-21,20.633710861206055,56.302059173583984,32.595184326171875,50.17763900756836,43.39421081542969,18.3256778717041,40.95417404174805,26.7766056060791
2015-01-22,20.569866180419922,56.27031707763672,32.670379638671875,49.82948303222656,43.353607177734375,17.96871566772461,40.9577522277832,26.733854293823242
2015-01-23,20.556724548339844,56.32743453979492,32.733055114746094,50.06371307373047,43.65130615234375,18.026601791381836,41.16162109375,26.904857635498047
2015-01-26,20.607418060302734,56.219505310058594,32.733055114746094,49.962432861328125,43.68511962890625,18.012130737304688,40.964900970458984,26.833606719970703
2015-01-27,20.883438110351562,56.32743453979492,32.852115631103516,49.99407958984375,43.46863555908203,18.045894622802734,40.968482971191406,26.88348960876465
2015-01-28,20.639339447021484,55.775089263916016,32.695457458496094,49.27878952026367,42.88002395629883,17.84812355041504,40.53926086425781,26.683975219726562
2015-01-29,20.966054916381836,56.7337646484375,33.084007263183594,50.095340728759766,43.11005401611328,17.862592697143555,41.11156463623047,27.154239654541016
2015-01-30,20.511655807495117,55.32431411743164,31.786720275878906,48.67109298706055,42.494380950927734,17.385038375854492,40.03135299682617,26.740976333618164
2015-02-02,20.667503356933594,55.23543930053711,31.824317932128906,49.196510314941406,42.663543701171875,17.389860153198242,40.482032775878906,26.769474029541016
2015-02-03,20.699426651000977,55.095767974853516,31.836854934692383,49.740875244140625,42.46056365966797,17.814353942871094,40.70737838745117,26.81936264038086
2015-02-04,20.549209594726562,54.58783721923828,30.9970703125,49.139522552490234,42.095218658447266,17.457401275634766,40.070709228515625,26.505855560302734
2015-02-05,20.599903106689453,55.05765914916992,31.153738021850586,49.81049728393555,42.25083541870117,17.655162811279297,40.5678825378418,26.76235580444336
2015-02-06,19.865737915039062,52.76570510864258,30.188608169555664,47.924171447753906,40.360740661621094,16.88335609436035,38.70438766479492,25.44419288635254
2015-02-09,19.62539291381836,52.50539779663086,29.95046043395996,47.62032699584961,39.73979568481445,16.632522583007812,38.58634567260742,25.180557250976562
2015-02-10,20.24690818786621,53.44502639770508,30.50823211669922,48.52552795410156,40.469905853271484,16.88335609436035,39.48054122924805,25.82894515991211
2015-02-11,19.72679328918457,52.46119689941406,30.05072593688965,46.917694091796875,39.76709747314453,16.6740779876709,38.31452178955078,25.330184936523438
2015-02-12,19.77936363220215,51.9548454284668,29.502628326416016,46.66450500488281,39.56239700317383,16.761688232421875,38.15355682373047,25.315942764282227
2015-02-13,19.456409454345703,51.172889709472656,29.07174301147461,46.15178298950195,39.46003341674805,16.309059143066406,37.75653076171875,24.938302993774414
2015-02-16,,,,,,,,
2015-02-17,19.418851852416992,50.88447952270508,28.856307983398438,46.322689056396484,39.48733139038086,16.10464859008789,38.00690460205078,25.07366943359375
2015-02-18,19.995296478271484,51.897178649902344,29.6800479888916,47.265846252441406,40.340274810791016,16.498870849609375,39.240901947021484,25.864580154418945
2015-02-19,19.7962646484375,50.74345397949219,29.268169403076172,46.70881652832031,39.85579299926758,16.265254974365234,39.05847930908203,25.807571411132812
2015-02-20,19.828184127807617,50.44864273071289,29.236507415771484,46.83542251586914,40.067325592041016,16.250654220581055,39.32316207885742,25.593822479248047
2015-02-23,19.901412963867188,50.8011589050293,29.44561004638672,46.77846145629883,40.319801330566406,16.440473556518555,39.54134750366211,25.92159080505371
2015-02-24,19.918310165405273,51.179298400878906,29.711727142333984,46.87971878051758,40.44943618774414,16.932029724121094,39.44120407104492,25.900196075439453
2015-02-25,19.62893295288086,50.640926361083984,29.09708595275879,46.43144226074219,39.63062286376953,16.78601837158203,38.858177185058594,25.380062103271484
2015-02-26,19.572185516357422,50.35248947143555,28.99570655822754,45.94611740112305,39.1734619140625,16.528074264526367,38.790225982666016,25.23755645751953
2015-02-27,19.56841278076172,50.34608459472656,29.01472282409668,46.03551483154297,39.28946304321289,16.508604049682617,38.70079803466797,25.137805938720703
2015-03-02,19.20525360107422,49.39107894897461,28.4317569732666,44.905208587646484,38.31369400024414,15.978114128112793,38.318084716796875,24.51791000366211
2015-03-03,19.280914306640625,49.67948913574219,28.609182357788086,45.32030487060547,38.7094612121582,16.070585250854492,38.86892318725586,24.717416763305664
2015-03-04,19.176883697509766,49.40388870239258,28.40642547607422,45.09041213989258,38.60712432861328,15.875906944274902,38.59708023071289,24.639036178588867
2015-03-05,19.316844940185547,49.7243537902832,28.526803970336914,45.45441818237305,38.948280334472656,16.04625129699707,38.91897964477539,24.888418197631836
2015-03-06,18.668100357055664,48.04509735107422,27.937519073486328,44.432674407958984,37.53582763671875,15.705558776855469,38.27159881591797,23.976394653320312
2015-03-09,18.71160316467285,47.91691207885742,27.886825561523438,44.426300048828125,37.651824951171875,15.622827529907227,38.6292724609375,24.282773971557617
2015-03-10,18.5338077545166,47.87844467163086,27.836132049560547,44.22832107543945,37.7064094543457,15.637431144714355,38.20006561279297,24.33977699279785
2015-03-11,18.531919479370117,47.609249114990234,27.70307159423828,43.90264892578125,37.3720588684082,15.49141788482666,37.96757125854492,24.118896484375
