Date,XOM,CVX,COP,EOG,SLB,HAL,DVN,OXY,MPC,VLO,PSX,KMI,WMB,EQT
2015-01-01,,,,,,,,,,,,,,
2015-01-02,57.91691970825195,70.20952606201172,48.29014587402344,67.46919250488281,62.90338897705078,31.97993278503418,41.77596664428711,57.91170883178711,32.71912384033203,32.826881408691406,48.32181167602539,24.49132537841797,24.466333389282227,38.74563980102539
2015-01-05,56.33218765258789,67.4031753540039,45.99195861816406,63.40232467651367,61.199954986572266,31.3482666015625,40.22719955444336,55.76472091674805,31.80867576599121,31.47702407836914,45.40069580078125,23.82770347595215,23.49785804748535,36.676395416259766
2015-01-06,56.03270721435547,67.37198638916016,44.093135833740234,61.59563064575195,60.00311279296875,31.040529251098633,39.404823303222656,55.29078674316406,31.49447250366211,31.09229850769043,44.130645751953125,23.35859489440918,23.17863655090332,36.256553649902344
2015-01-07,56.6004524230957,67.31584167480469,44.38741683959961,61.20798873901367,59.99575424194336,31.874649047851562,39.58985900878906,55.29795455932617,31.755117416381836,30.851015090942383,44.32451629638672,23.66752052307129,23.054195404052734,36.3065299987793
2015-01-08,57.54256820678711,68.85625457763672,45.49448013305664,63.54860305786133,60.72267150878906,32.562992095947266,40.99473190307617,55.7862434387207,32.5013313293457,32.61821365356445,46.049102783203125,24.22245216369629,23.27602767944336,37.760986328125
2015-01-09,57.46145248413086,67.4842300415039,45.48748016357422,63.97283172607422,59.636009216308594,32.230960845947266,41.39906311035156,55.67853546142578,31.594451904296875,31.72483253479004,44.992950439453125,23.919240951538086,22.983858108520508,38.02589416503906
2015-01-12,56.35715103149414,66.0311508178711,44.19122314453125,61.8150520324707,57.30842590332031,31.210599899291992,40.521873474121094,53.818763732910156,30.498336791992188,30.890138626098633,42.940834045410156,23.80481719970703,22.334592819213867,36.28153991699219
2015-01-13,56.151283264160156,64.98344421386719,43.74980926513672,62.21736145019531,57.11014938354492,31.008134841918945,40.357391357421875,53.833133697509766,28.870235443115234,29.964149475097656,41.10930252075195,23.39291763305664,22.150634765625,36.3015251159668
2015-01-14,55.98903274536133,64.79633331298828,43.875911712646484,64.30467987060547,57.55806350708008,31.048629760742188,40.090126037597656,54.1993293762207,27.717002868652344,29.25336456298828,39.71892547607422,23.58170509338379,22.46985626220703,36.596412658691406
2015-01-15,55.502410888671875,64.02925872802734,43.02812194824219,63.41786193847656,56.2657585144043,30.230710983276367,39.651546478271484,54.565528869628906,27.438505172729492,28.738204956054688,39.49834442138672,23.324262619018555,22.523950576782227,36.25154113769531
2015-01-16,56.85002899169922,65.55717468261719,44.19822692871094,66.18821716308594,59.71675491333008,31.688383102416992,41.597801208496094,56.05191421508789,27.692012786865234,29.605493545532227,40.661434173583984,23.75905418395996,22.724143981933594,37.780982971191406
2015-01-19,,,,,,,,,,,,,,
2015-01-20,56.8312873840332,66.39907836914062,44.27530288696289,65.46997833251953,59.0926628112793,32.255271911621094,40.871368408203125,56.016029357910156,28.713134765625,30.329334259033203,42.52639389038086,23.924968719482422,22.772846221923828,37.01625061035156
2015-01-21,57.31794738769531,67.45307159423828,45.221214294433594,66.35679626464844,60.36289978027344,32.95171356201172,42.21457290649414,56.89925003051758,28.902374267578125,30.772762298583984,44.28440475463867,24.027935028076172,23.14076042175293,38.36076736450195
2015-01-22,57.94186019897461,67.9270248413086,45.753726959228516,66.22483825683594,60.31149673461914,33.05699920654297,41.9747200012207,56.62636184692383,29.980640411376953,31.30096435546875,44.992950439453125,24.073713302612305,23.438337326049805,37.91592025756836
2015-01-23,56.706539154052734,66.63607788085938,45.298301696777344,66.5400161743164,60.20871353149414,33.194671630859375,41.22772979736328,56.619205474853516,31.11958885192871,32.70949935913086,45.80176544189453,24.182409286499023,23.454574584960938,37.51607131958008
2015-01-26,57.24932098388672,67.90205383300781,46.118072509765625,67.66869354248047,61.4422492980957,33.57527160644531,42.29680633544922,57.67473602294922,31.487340927124023,33.38117599487305,45.72156524658203,24.182409286499023,23.67098617553711,37.71100616455078
2015-01-27,56.74397277832031,67.51541137695312,45.92188262939453,68.15972137451172,62.08102798461914,33.60767364501953,42.55721664428711,57.02130126953125,31.66228675842285,33.40725326538086,46.52370071411133,24.27395248413086,23.78461265563965,37.55107498168945
2015-01-28,54.87224578857422,64.6778564453125,43.847896575927734,64.56849670410156,59.29088592529297,31.963748931884766,40.042171478271484,54.93175506591797,31.880094528198242,33.58985137939453,45.70150375366211,23.661802291870117,23.000085830688477,36.82133483886719
2015-01-29,54.64141082763672,64.23507690429688,44.01606369018555,65.1621322631836,60.1352653503418,32.044715881347656,40.24089431762695,56.23143005371094,32.13716506958008,33.9615478515625,47.1119270324707,23.54612159729004,23.58442497253418,36.846336364746094
2015-01-30,54.54158401489258,63.94194412231445,44.12816619873047,65.2501220703125,60.49504470825195,32.38484191894531,41.303123474121094,57.44497299194336,33.05832290649414,34.483238220214844,47.00495529174805,23.742773056030273,23.730506896972656,37.20619583129883
2015-02-02,55.889217376708984,66.1434097290039,46.08303451538086,67.8079605102539,62.14711380004883,33.61576461791992,43.06433868408203,57.55984115600586,33.54032516479492,35.500511169433594,48.66272735595703,24.07244873046875,24.255329132080078,37.7709846496582
2015-02-03,57.555030822753906,68.30742645263672,47.46334457397461,70.58558654785156,63.9387092590332,35.0815544128418,43.90726089477539,58.988773345947266,34.21155548095703,35.461387634277344,50.05308532714844,23.991479873657227,24.9316463470459,38.415733337402344
