Date,LIN,APD,ECL,SHW,PPG,MLM,VMC,NUE,STLD,FCX,ALB,DD
2015-01-01,,,,,,,,,,,,
2015-01-02,106.3248519897461,103.62751770019531,92.69917297363281,78.92680358886719,94.35297393798828,101.65802001953125,61.199005126953125,37.831016540527344,15.793307304382324,20.7314453125,51.52745056152344,20.96738624572754
2015-01-05,103.51842498779297,100.31410217285156,90.6285400390625,78.69223022460938,91.91807556152344,97.51282501220703,59.508670806884766,36.38755798339844,14.8409423828125,19.499006271362305,49.81869888305664,20.31890869140625
2015-01-06,102.19296264648438,100.27848052978516,87.91802978515625,78.45464324951172,91.69183349609375,96.57743072509766,59.37161636352539,35.862674713134766,14.41238784790039,19.833528518676758,48.8447151184082,19.99237060546875
2015-01-07,103.33845520019531,101.36158752441406,89.2066421508789,79.79296112060547,92.09903717041016,98.83343505859375,60.49545669555664,36.194583892822266,14.618732452392578,20.124032974243164,48.6482048034668,19.960180282592773
2015-01-08,105.04029846191406,103.70587158203125,91.19725799560547,81.97634887695312,94.5503921508789,102.63011932373047,62.386810302734375,37.07455062866211,15.126663208007812,20.5729923248291,50.17755126953125,20.456878662109375
2015-01-09,103.62480926513672,102.15253448486328,90.05089569091797,82.52970123291016,93.35350036621094,100.6767578125,62.39593505859375,36.88157653808594,14.999673843383789,20.643413543701172,50.42531204223633,20.42469024658203
2015-01-12,103.39568328857422,101.44709014892578,89.54430389404297,81.53125762939453,93.057373046875,100.9610366821289,62.359405517578125,35.507606506347656,14.420321464538574,20.308895111083984,51.00628662109375,20.30511474609375
2015-01-13,102.68387603759766,100.91268920898438,90.5751953125,80.94176483154297,93.36173248291016,99.73217010498047,61.54621505737305,35.24515914916992,13.896525382995605,18.77660369873047,52.10843276977539,20.056760787963867
2015-01-14,101.9393081665039,99.70843505859375,90.05089569091797,80.9658432006836,93.35350036621094,97.81543731689453,61.89339828491211,34.28026580810547,13.690177917480469,16.724031448364258,50.852500915527344,19.973974227905273
2015-01-15,101.84112548828125,99.37351989746094,89.4732437133789,81.37786102294922,93.03680419921875,95.907958984375,60.504581451416016,34.12588882446289,13.634623527526855,16.35813331604004,49.622196197509766,19.918779373168945
2015-01-16,101.07201385498047,99.5516357421875,90.83294677734375,82.3492660522461,94.75605010986328,98.98934173583984,61.116783142089844,34.28797149658203,13.769545555114746,17.170238494873047,49.99812316894531,20.599454879760742
2015-01-19,,,,,,,,,,,,
2015-01-20,102.20114135742188,100.74163818359375,91.14395141601562,81.95528411865234,93.84295654296875,99.53038787841797,61.20813751220703,34.03326416015625,13.59494400024414,17.197019577026367,49.382972717285156,20.295913696289062
2015-01-21,102.82295989990234,101.96724700927734,92.4236831665039,82.1688232421875,93.78947448730469,101.1994857788086,62.11270523071289,33.97150802612305,13.72986125946045,17.714622497558594,50.07502365112305,20.57646369934082
2015-01-22,104.28754425048828,102.83657836914062,94.5299072265625,83.33875274658203,95.15502166748047,101.75890350341797,63.885257720947266,34.619903564453125,14.15048885345459,17.8663272857666,50.87813186645508,20.861608505249023
2015-01-23,103.37117767333984,102.22378540039062,94.09441375732422,82.40641784667969,93.69898223876953,100.72261810302734,63.72080612182617,33.80940628051758,13.507640838623047,17.170238494873047,48.56277084350586,20.498273849487305
2015-01-26,101.88203430175781,101.9529800415039,95.1075210571289,82.79135131835938,93.70311737060547,103.10699462890625,64.43347930908203,34.218502044677734,13.864777565002441,17.455821990966797,48.81908416748047,20.493671417236328
2015-01-27,100.80201721191406,101.07655334472656,94.62761688232422,82.45751190185547,92.9380874633789,102.3183364868164,64.16849517822266,34.596744537353516,14.023506164550781,16.402755737304688,48.161216735839844,20.314308166503906
2015-01-28,100.33563232421875,98.92462921142578,92.05040740966797,81.48011016845703,91.202392578125,98.63166046142578,63.98573684692383,33.994667053222656,14.047311782836914,15.546027183532715,47.30683135986328,19.790010452270508
