Date,JPM,BAC,C,WFC,GS,MS,BLK,BK,STT,TROW,SCHW,AXP,COF,USB,PNC,TFC,CMA,MTB,RF,CB,TRV,AIG,MET,PRU
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,46.72093200683594,14.277458190917969,40.412837982177734,40.15971755981445,156.37387084960938,28.715614318847656,272.537109375,30.796180725097656,58.12137985229492,57.45051956176758,26.447296142578125,79.46620178222656,67.56951141357422,30.78392791748047,64.32987213134766,25.18903160095215,31.043537139892578,92.2708740234375,7.179269313812256,93.2906265258789,83.09917449951172,43.31412887573242,33.22154998779297,55.96083450317383
2015-01-05,45.27047348022461,13.862691879272461,39.13922882080078,39.05845642089844,151.49143981933594,27.81801986694336,265.4854736328125,30.004579544067383,57.157020568847656,56.130821228027344,25.56338882446289,77.36466217041016,66.01317596435547,30.042320251464844,62.36075973510742,24.39394187927246,29.937002182006836,89.2979507446289,6.933354377746582,91.76618194580078,82.09825134277344,42.45726013183594,32.112308502197266,54.1846923828125
2015-01-06,44.09666061401367,13.447932243347168,37.761356353759766,38.24350357055664,148.4268341064453,27.016860961914062,261.3600158691406,29.136869430541992,55.52504348754883,55.139373779296875,24.62696075439453,75.71589660644531,64.78448486328125,29.6440372467041,60.74574661254883,23.918190002441406,29.038349151611328,87.29634857177734,6.701106548309326,90.95915985107422,81.36531829833984,41.855140686035156,31.13865852355957,53.06061935424805
2015-01-07,44.16395568847656,13.511737823486328,38.111412048339844,38.471099853515625,150.6388397216797,27.402597427368164,266.8912353515625,29.738178253173828,56.044315338134766,55.949951171875,25.108308792114258,77.36953735351562,65.52167510986328,29.904972076416016,61.446990966796875,24.23752784729004,29.320018768310547,87.48033905029297,6.742091655731201,92.25530242919922,82.75240325927734,42.05583953857422,31.551530838012695,53.091697692871094
2015-01-08,45.15086364746094,13.790907859802246,38.68488693237305,39.322750091552734,153.04376220703125,27.810609817504883,270.0084533691406,30.149211883544922,57.23120880126953,56.613162994384766,25.76467514038086,78.4662094116211,66.16060638427734,30.124713897705078,62.6298713684082,24.641597747802734,29.937002182006836,89.25377655029297,6.8445539474487305,93.7470932006836,84.47050476074219,41.87058639526367,32.03220748901367,53.942508697509766
2015-01-09,44.36582946777344,13.5436429977417,37.82093048095703,38.676673889160156,150.69505310058594,27.358097076416016,266.8072509765625,29.707738876342773,56.4003791809082,56.184425354003906,24.89826774597168,77.47234344482422,65.01382446289062,29.499839782714844,61.46115493774414,24.00290298461914,28.602439880371094,87.45825958251953,6.646458148956299,92.4183349609375,83.40655517578125,41.16038131713867,31.440601348876953,52.98611831665039
2015-01-12,43.98451232910156,13.304356575012207,37.523014068603516,38.21412658691406,148.8612060546875,26.979764938354492,265.05010986328125,29.281484603881836,55.91078567504883,55.55470657348633,24.65322494506836,76.68409729003906,64.75992584228516,29.225154876708984,61.029090881347656,23.78132438659668,28.32747459411621,86.88428497314453,6.516672134399414,91.301513671875,82.9100112915039,40.4193115234375,31.077030181884766,52.29677200317383
2015-01-13,43.99199295043945,13.120903968811035,37.254878997802734,38.067291259765625,148.74853515625,26.72755241394043,265.85223388671875,29.228208541870117,55.77723693847656,55.641788482666016,24.67072296142578,76.45275115966797,64.21109771728516,28.909284591674805,60.202823638916016,23.742219924926758,28.025699615478516,87.45825958251953,6.414209842681885,91.44009399414062,83.03614044189453,40.041053771972656,30.6949520111084,51.781314849853516
2015-01-14,42.4742546081543,12.793875694274902,36.53242111206055,37.62678909301758,144.96815490722656,26.119266510009766,264.1485595703125,28.489887237548828,54.41230773925781,54.77763748168945,23.830577850341797,74.60204315185547,62.86775207519531,28.387401580810547,59.120147705078125,23.240392684936523,27.770856857299805,84.85323333740234,6.257099628448486,89.5488510131836,81.78302001953125,39.66279602050781,30.158817291259766,50.415077209472656
2015-01-15,41.113525390625,12.123870849609375,35.176883697509766,37.237667083740234,143.56857299804688,25.651920318603516,261.62744140625,28.35287857055664,53.989463806152344,54.281898498535156,23.340486526489258,73.58243560791016,63.03158187866211,28.112735748291016,58.70703125,23.13612174987793,27.469070434570312,84.1689224243164,6.140974521636963,89.5244140625,82.12979888916016,38.90628433227539,29.56723403930664,49.54561996459961
2015-01-16,41.81632614135742,12.26744556427002,35.459903717041016,37.91312789916992,142.5550537109375,25.881879806518555,265.9210205078125,28.512731552124023,54.64226150512695,54.59673309326172,23.541772842407227,73.71956634521484,62.785823822021484,28.511003494262695,60.145851135253906,23.475019454956055,27.81109046936035,84.64720153808594,6.195618152618408,91.09770965576172,83.96611022949219,39.454368591308594,30.189640045166016,50.303279876708984
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,41.65182113647461,12.171730995178223,35.19922637939453,38.177433013916016,141.26809692382812,25.778034210205078,264.7902526855469,28.34527587890625,54.30103302001953,54.50298309326172,23.41049575805664,74.76485443115234,63.39196014404297,28.298139572143555,60.27406692504883,23.305566787719727,27.1002254486084,83.05036163330078,5.9701995849609375,90.05427551269531,83.4144058227539,39.09927749633789,30.03558349609375,49.998985290527344
2015-01-21,41.786407470703125,12.291377067565918,35.55673599243164,38.2508430480957,142.49073791503906,25.76319694519043,267.01348876953125,28.581233978271484,55.44343185424805,54.40250015258789,23.366743087768555,75.11614227294922,63.2445068359375,28.97795867919922,60.38801574707031,23.227354049682617,27.361764907836914,82.62361145019531,5.949707984924316,90.111328125,82.76030731201172,39.23821258544922,30.362178802490234,50.05485916137695
