Date,PLD,AMT,CCI,SPG,O,PSA,WELL,EQIX
2015-01-01,,,,,,,,
2015-01-02,31.632076263427734,77.25252532958984,51.017887115478516,109.11898803710938,28.334930419921875,123.38658905029297,50.14802551269531,175.0421142578125
2015-01-05,31.610218048095703,76.13643646240234,50.690650939941406,109.5665054321289,28.91770362854004,123.96656799316406,50.767147064208984,173.24267578125
2015-01-06,31.719465255737305,75.93490600585938,50.59438705444336,112.61620330810547,29.296525955200195,126.0819320678711,51.490535736083984,169.4661407470703
2015-01-07,32.20018005371094,76.73323822021484,51.65312194824219,114.68858337402344,29.77439308166504,128.665283203125,51.96624755859375,170.02218627929688
2015-01-08,32.20745849609375,77.44630432128906,52.468021392822266,114.52375793457031,28.987646102905273,130.41824340820312,51.751190185546875,172.05331420898438
2015-01-09,32.15648651123047,77.05101776123047,52.37177658081055,115.73070526123047,29.33150863647461,130.81362915039062,51.8033332824707,167.50448608398438
2015-01-12,32.484230041503906,76.71771240234375,52.307613372802734,115.842529296875,29.73944664001465,130.58299255371094,52.58539962768555,167.49676513671875
2015-01-13,31.836009979248047,75.86514282226562,52.18571090698242,115.9190673828125,29.797727584838867,131.0904541015625,52.70269775390625,167.78248596191406
2015-01-14,31.843286514282227,75.38459777832031,52.39102554321289,116.94352722167969,30.129899978637695,131.02455139160156,53.37394332885742,169.04135131835938
2015-01-15,31.879703521728516,74.6250228881836,52.378196716308594,117.79131317138672,30.427125930786133,131.43310546875,54.20158004760742,168.52392578125
2015-01-16,32.15648651123047,75.50861358642578,53.01985168457031,118.22112274169922,30.75932502746582,133.28489685058594,54.944496154785156,170.0916748046875
2015-01-19,,,,,,,,
2015-01-20,31.93069076538086,75.28382110595703,52.62202453613281,117.53227996826172,30.735998153686523,133.50244140625,54.33192825317383,171.75982666015625
2015-01-21,32.06907653808594,74.98930358886719,52.2049446105957,117.8796157836914,30.74183464050293,132.46775817871094,53.71931838989258,172.54759216308594
2015-01-22,32.86296844482422,76.60147857666016,54.700984954833984,120.12277221679688,30.998245239257812,135.24217224121094,54.08426284790039,176.9728546142578
2015-01-23,33.0013542175293,77.19827270507812,55.71478271484375,119.58112335205078,31.202224731445312,133.6144561767578,54.24069595336914,178.0927276611328
2015-01-26,33.39466094970703,78.87245178222656,56.497615814208984,120.78801727294922,31.889911651611328,134.6952362060547,54.1429328918457,177.17367553710938
2015-01-27,34.32694625854492,77.81061553955078,56.33720397949219,120.50543975830078,32.08222579956055,134.87974548339844,54.10383224487305,171.37367248535156
2015-01-28,33.80982208251953,76.64020538330078,55.92654037475586,119.81658172607422,32.111366271972656,133.6210174560547,54.11684036254883,167.6666717529297
2015-01-29,33.67872619628906,76.28367614746094,55.66988754272461,120.55254364013672,32.245304107666016,134.56341552734375,54.57305145263672,171.3891143798828
2015-01-30,32.87754821777344,75.144287109375,55.50947189331055,116.96113586425781,31.759916305541992,132.35577392578125,53.406517028808594,167.48126220703125
2015-02-02,32.88482666015625,75.84188842773438,55.4132194519043,117.40274047851562,31.309627532958984,132.95541381835938,53.406517028808594,168.3617401123047
