Date,GOOGL,META,DIS,NFLX,VZ,T,TMUS,CMCSA,CHTR,EA,TTWO
2015-01-01,,,,,,,,,,,
2015-01-02,26.29613494873047,77.96932983398438,85.94351959228516,4.984857082366943,26.573196411132812,11.657844543457031,26.37468910217285,22.25611686706543,166.42999267578125,45.61405944824219,28.100000381469727
2015-01-05,25.795087814331055,76.71705627441406,84.6875991821289,4.731142997741699,26.352510452270508,11.547700881958008,26.01723289489746,21.80221939086914,160.5,45.322105407714844,27.6200008392334
2015-01-06,25.158479690551758,75.68342590332031,84.23839569091797,4.650143146514893,26.618473052978516,11.564912796020508,25.959264755249023,21.51780891418457,156.30999755859375,44.72843933105469,27.93000030517578
2015-01-07,25.084489822387695,75.68342590332031,85.10013580322266,4.674285888671875,26.446693420410156,11.632340431213379,27.292490005493164,21.498334884643555,156.7899932861328,45.5556640625,28.100000381469727
2015-01-08,25.17188835144043,77.70100402832031,85.98018646240234,4.7779998779296875,27.01353645324707,11.748068809509277,28.036392211914062,21.965856552124023,162.94000244140625,46.84029006958008,28.459999084472656
2015-01-09,24.8645076751709,77.2636947631836,86.40188598632812,4.704143047332764,26.773059844970703,11.713000297546387,28.258596420288086,21.93079376220703,161.97999572753906,46.236900329589844,27.8700008392334
2015-01-12,24.682762145996094,76.24993896484375,86.59439849853516,4.554714202880859,26.95627784729004,11.744561195373535,28.277917861938477,21.884042739868164,163.85000610351562,45.79896545410156,27.8700008392334
2015-01-13,24.918134689331055,75.98160552978516,87.26361846923828,4.625570774078369,27.01353645324707,11.744561195373535,28.47113609313965,22.145078659057617,164.39999389648438,45.17612075805664,27.690000534057617
2015-01-14,25.12322425842285,75.81263732910156,86.38352966308594,4.631999969482422,26.89329719543457,11.688450813293457,28.5677490234375,21.747682571411133,158.1300048828125,45.643253326416016,27.84000015258789
2015-01-15,25.02787971496582,73.5963134765625,86.49356079101562,4.625143051147461,26.967721939086914,11.663904190063477,28.19096565246582,21.817808151245117,160.49000549316406,45.39020538330078,27.700000762939453
2015-01-16,25.34817123413086,74.7193832397461,87.25444793701172,4.819142818450928,27.477317810058594,11.853275299072266,28.15232276916504,22.117801666259766,161.11000061035156,46.801361083984375,29.209999084472656
2015-01-19,,,,,,,,,,,
2015-01-20,25.322349548339844,75.77288055419922,86.85107421875,4.9828572273254395,27.586097717285156,11.905881881713867,28.538766860961914,21.74378776550293,156.1300048828125,46.528865814208984,29.040000915527344
2015-01-21,25.841270446777344,76.26982116699219,86.32853698730469,5.846857070922852,27.62618064880371,11.92341423034668,29.060462951660156,21.72820281982422,155.75,46.781890869140625,29.209999084472656
2015-01-22,26.680980682373047,77.17424774169922,87.2269515991211,6.120571136474609,27.368520736694336,11.849770545959473,29.466228485107422,22.039880752563477,158.99000549316406,48.03733444213867,29.709999084472656
2015-01-23,26.91188621520996,77.35314178466797,86.8327407836914,6.249429225921631,26.996362686157227,11.702476501464844,29.13775062561035,21.93858528137207,158.92999267578125,48.455806732177734,29.860000610351562
2015-01-26,26.652177810668945,77.02516174316406,87.06194305419922,6.379428863525391,26.887571334838867,11.635847091674805,29.620805740356445,22.08663558959961,158.17999267578125,48.15412521362305,30.5
2015-01-27,25.880996704101562,75.3156967163086,86.14518737792969,6.488142967224121,26.538311004638672,11.50609302520752,29.620805740356445,21.958065032958984,156.42999267578125,47.11279296875,29.670000076293945
