Date,AMZN,TSLA,HD,LOW,MCD,SBUX,NKE,TGT,BKNG,MAR,HLT,MGM,ROST,TJX,GM,F,ULTA,ORLY,AZO,PVH,TPR,CCL,RCL,EBAY,LULU
2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,15.425999641418457,14.620667457580566,79.90188598632812,55.493106842041016,70.67049407958984,32.659339904785156,41.38150405883789,54.41957092285156,1123.6737060546875,69.79989624023438,50.33696746826172,19.853607177734375,42.08231735229492,29.19187355041504,26.899038314819336,8.528310775756836,126.83999633789062,12.807332992553711,616.7899780273438,124.3199691772461,26.949495315551758,38.91590881347656,72.9288101196289,21.054214477539062,55.34000015258789
2015-01-05,15.10949993133545,14.005999565124512,78.22553253173828,54.165225982666016,69.88993072509766,32.033748626708984,40.71525955200195,53.44429397583008,1079.90966796875,67.88768005371094,48.70692443847656,19.305795669555664,42.05087661743164,28.865421295166016,26.50528335571289,8.195175170898438,127.1500015258789,12.58133316040039,608.489990234375,119.96082305908203,26.530555725097656,38.72819519042969,71.838623046875,20.878173828125,55.959999084472656
2015-01-06,14.76449966430664,14.085332870483398,77.98604583740234,54.28817367553711,70.01876068115234,31.773094177246094,40.47575378417969,53.437076568603516,1062.5736083984375,67.03482055664062,48.26061248779297,18.569072723388672,42.13169479370117,28.723657608032227,26.906761169433594,8.117443084716797,126.94999694824219,12.538666725158691,607.8200073242188,115.10963439941406,26.219951629638672,39.10362243652344,72.04962921142578,20.608488082885742,55.56999969482422
2015-01-07,14.920999526977539,14.063332557678223,80.65897369384766,55.9029541015625,71.23881530761719,32.555091857910156,41.31184005737305,55.4598274230957,1052.350830078125,68.5699691772461,49.03679656982422,19.29634666442871,42.95330810546875,29.31214714050293,27.671112060546875,8.350637435913086,130.5800018310547,12.652667045593262,607.239990234375,118.05184173583984,27.028947830200195,39.24867248535156,73.13983917236328,20.574764251708984,57.650001525878906
2015-01-08,15.02299976348877,14.041333198547363,82.44351196289062,57.08330535888672,71.50402069091797,33.080413818359375,42.265472412109375,55.71992111206055,1065.4169921875,70.84127044677734,50.39517593383789,19.57025909423828,43.52351379394531,29.466777801513672,27.949066162109375,8.561627388000488,132.24000549316406,12.88266658782959,606.0,117.18589782714844,27.715145111083984,39.8288688659668,74.30033874511719,21.129127502441406,59.06999969482422
2015-01-09,14.846500396728516,13.77733325958252,81.0298080444336,56.009525299072266,70.632568359375,31.99765968322754,41.799537658691406,55.2142219543457,1035.024169921875,70.6796875,49.8906364440918,19.37190818786621,42.74229049682617,29.101655960083008,27.478086471557617,8.445029258728027,131.57000732421875,12.52066707611084,606.02001953125,115.99524688720703,27.59234619140625,39.504638671875,73.78162384033203,20.836963653564453,58.630001068115234
2015-01-12,14.570500373840332,13.480667114257812,80.66670227050781,55.616065979003906,70.48101806640625,32.17411804199219,41.74292755126953,55.35869598388672,1023.2371215820312,69.94355010986328,49.38610076904297,19.097999572753906,43.02516555786133,28.95132064819336,27.671112060546875,8.450578689575195,129.83999633789062,12.371999740600586,597.3599853515625,115.85747528076172,27.859600067138672,39.49610900878906,73.20137023925781,20.6759033203125,62.59000015258789
2015-01-13,14.737000465393066,13.616666793823242,80.13365173339844,55.62425994873047,70.34464263916016,32.43075942993164,41.372802734375,54.867454528808594,1021.1118774414062,69.50365447998047,49.77421569824219,19.220787048339844,42.589637756347656,28.84823989868164,27.21558952331543,8.445029258728027,128.80999755859375,12.183333396911621,588.9500122070312,116.07394409179688,27.361209869384766,39.21454620361328,73.21016693115234,20.649686813354492,63.060001373291016
2015-01-14,14.66349983215332,12.845999717712402,79.29161834716797,55.239013671875,69.3670883178711,32.25030517578125,40.80669403076172,53.69715118408203,1018.99658203125,68.74053955078125,50.31755447387695,19.107450485229492,41.58843231201172,28.44875717163086,26.48211669921875,8.38950252532959,128.75,12.163999557495117,582.780029296875,112.88578796386719,26.696678161621094,38.80499267578125,72.04084014892578,20.23766326904297,63.400001525878906
2015-01-15,14.34749984741211,12.791333198547363,78.03239440917969,54.386531829833984,69.24584197998047,31.91344451904297,40.41478729248047,54.66516876220703,982.1790771484375,68.31858825683594,49.677181243896484,19.116893768310547,40.91946792602539,28.040685653686523,25.8104190826416,8.25069808959961,127.13999938964844,11.997332572937012,575.280029296875,109.07763671875,26.191062927246094,38.54048538208008,71.65400695800781,19.859355926513672,62.5099983215332
2015-01-16,14.536999702453613,12.871333122253418,80.4349365234375,55.924678802490234,69.32919311523438,32.326499938964844,40.4931640625,54.1378288269043,991.9884033203125,68.13007354736328,50.18171691894531,18.899658203125,41.709659576416016,28.672119140625,26.003427505493164,8.339531898498535,129.72000122070312,12.194000244140625,580.8499755859375,109.63854217529297,26.082721710205078,38.78792953491211,72.96398162841797,20.09907341003418,63.0
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-20,14.472000122070312,12.795332908630371,79.76285552978516,54.715545654296875,68.80633544921875,32.57112503051758,40.76316452026367,53.22035217285156,1008.4490966796875,68.5160903930664,50.02647399902344,18.0684871673584,41.22026824951172,28.44446563720703,26.19645118713379,8.333980560302734,127.16000366210938,12.428000450134277,584.3300170898438,109.1563491821289,26.039379119873047,38.71966552734375,72.9727783203125,20.106563568115234,63.0
